#;Titulo;Año;Autores;Citas;Editorial;URL;DOI;DOIcorto;Tipo;Editorial Oficial;Revista/Conferencia;;;;;
16;A FIFO queue class library as a state variable of Time Warp logical processes;1998;"S Hidaka; T Aoki; H Aida; T Saito";0;Springer;https://link.springer.com/chapter/10.1007/3-540-49372-7_15;http://dx.doi.org/10.1007/3-540-49372-7_15;10.1007/3-540-49372-7_15;book-chapter;Springer Berlin Heidelberg;Computing in Object-Oriented Parallel Environments;8;;;;
17;A Fine-grained Parallel Approach for one Logical Process on Multi-core Machines;2017;"J Fei; Y Yao; J Luan; L Li; Y Bao";0;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3173519.3173541?casa_token=0q1vPGXRbd0AAAAA:Xw_ejakZlvqB9EWaGBi2W861iGmJ_XfutjscRearNaXMP1zfmgfdiC_f-qls90Ufr8MgCmrRORXJANg;http://dx.doi.org/10.1145/3173519.3173541;10.1145/3173519.3173541;proceedings-article;ACM;SIMUTOOLS '17: 10th EAI International Conference on Simulation Tools and Techniques;13;;;;
18;A formal framework for specifying and verifying time warp optimizations;1999;"V Chernyakhovsky; P Frey; R Radhakrishnan; PA Wilsey; P Alexander; HW Carter";4;Citeseer;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=4180fd18748f77b84a8f249114af173a0d70e294;http://dx.doi.org/10.1007/bfb0098005;10.1007/bfb0098005;book-chapter;Springer Berlin Heidelberg;Lecture Notes in Computer Science;14;;;;
19;A Framework for analyzing parallel simulation performance;1999;"YM Teo; H Wang; SC Tay";10;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/766460/?casa_token=tme6syt-q_8AAAAA:U4QXWpu1ow4PykhPP9A7-vtstmz_FzLHduqWMZ09IBUm9ddLfgTJyLVlrbfDuLMaNi0B2blAsKz9;http://dx.doi.org/10.1109/simsym.1999.766460;10.1109/simsym.1999.766460;proceedings-article;IEEE Comput. Soc;32nd Annual Simulation Symposium;15;;;;
20;A framework for performance analysis of parallel discrete event simulators;1997;"V Balakrishnan; P Frey; NB Abu-Ghazaleh; PA Wilsey";32;dl.acm.org;https://dl.acm.org/doi/pdf/10.1145/268437.268520;http://dx.doi.org/10.1145/268437.268520;10.1145/268437.268520;proceedings-article;ACM Press;the 29th conference;0;;;;
21;A generic adaptive simulation algorithm for component-based simulation systems;2013;"T Helms; R Ewald; S Rybacki; AM Uhrmacher";0;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/2486092.2486095;http://dx.doi.org/10.1145/2486092.2486095;10.1145/2486092.2486095;proceedings-article;ACM;SIGSIM-PADS '13: SIGSIM Principles of Advanced Discrete Simulation;36;;;;
22;A geographically distributed enterprise simulation system;2000;"HR Ammerlahn; ME Goldsby; MM Johnson; DM Nicol";9;Elsevier;https://www.sciencedirect.com/science/article/pii/S0167739X99001090;http://dx.doi.org/10.1016/s0167-739x(99)00109-0;10.1016/s0167-739x(99)00109-0;journal-article;Elsevier BV;Future Generation Computer Systems;9;;;;
23;A GPU-based discrete event simulation kernel;2013;"W Tang; Y Yao";36;journals.sagepub.com;https://journals.sagepub.com/doi/pdf/10.1177/0037549713508839;http://dx.doi.org/10.1177/0037549713508839;10.1177/0037549713508839;journal-article;SAGE Publications;SIMULATION;24;;;;
24;A hierarchical composite framework of parallel discrete event simulation for modelling complex adaptive systems;2017;"F Zhu; Y Yao; W Tang; J Tang";15;Elsevier;https://www.sciencedirect.com/science/article/pii/S1569190X17300928?casa_token=jFLJebdXp3EAAAAA:Gro01kPmvuJTWpgc07f2uTAXZRfWSf1VjhT1Mp5twl6r6-vtW0bzn0JgTSPQ6p4vIuvgA0T9F1nm;http://dx.doi.org/10.1016/j.simpat.2017.05.010;10.1016/j.simpat.2017.05.010;journal-article;Elsevier BV;Simulation Modelling Practice and Theory;36;;;;
25;A hierarchical parallel discrete event simulation kernel for multicore platform;2013;"T Wenjie; Y Yiping; Z Feng";19;Springer;https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10586-012-0201-3&casa_token=qhULleJBsOEAAAAA:wLRCK30WVY0dmZ-qzmb2dT46IHHcr3RLu8NtO7E8RzFaPdmdLpIc5DrLitJdOkA6_wWndcCzbPurr2K_Qu8;http://dx.doi.org/10.1007/s10586-012-0201-3;10.1007/s10586-012-0201-3;journal-article;Springer Science and Business Media LLC;Cluster Comput;27;;;;
26;A hybrid mpi+ openmp solution of the distributed cluster-based fish schooling simulator;2014;"F Borges; A Gutierrez-Milla; R Suppi; E Luque";7;Elsevier;https://www.sciencedirect.com/science/article/pii/S187705091400372X;http://dx.doi.org/10.1016/j.procs.2014.05.195;10.1016/j.procs.2014.05.195;journal-article;Elsevier BV;Procedia Computer Science;20;;;;
27;A hybrid time management approach to agent-based simulation;2006;"D Pawlaszczyk; IJ Timm";0;Springer;https://link.springer.com/chapter/10.1007/978-3-540-69912-5_28;http://dx.doi.org/10.1007/978-3-540-69912-5_28;10.1007/978-3-540-69912-5_28;book-chapter;Springer Berlin Heidelberg;Lecture Notes in Computer Science;31;;;;
28;A logical process simulation model for conservative distributed simulation systems;2013;SS Rizvi;0;w.ijsimm.com;http://w.ijsimm.com/Full_Papers/Fulltext2013/text12-2_69-81.pdf;http://dx.doi.org/10.2507/ijsimm12(2)1.224;10.2507/ijsimm12(2)1.224;journal-article;DAAAM International;Int. j. simul. model.;0;;;;
29;A machine learning approach for optimizing parallel logic simulation;2010;"S Meraji; C Tropper";10;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5599251/?casa_token=EgVDsjUKZOgAAAAA:LTp0Cg8pi1QEM0scdO-snhPL9s02KRNK16LnnR1ZX8xWQOgJsmQIkhFAoDEAwXRQ1YrP6Setn2HM;http://dx.doi.org/10.1109/icpp.2010.62;10.1109/icpp.2010.62;proceedings-article;IEEE;2010 39th International Conference on Parallel Processing (ICPP);22;;;;
30;A message-driving formalism for modeling and simulation of multi-agent supply chain systems;2011;"W Tan; Y Chai; Y Liu";16;Springer;https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11518-011-5182-x&casa_token=VfLjG3o9Gc4AAAAA:KVDJi192Y9mhaRjwCpnUZO8mGBSyLB7yJAOL2A6i6XL4n5bd-F5EIRl3LZzTCPlpKfngF7399iNxk0hwlF8;http://dx.doi.org/10.1007/s11518-011-5182-x;10.1007/s11518-011-5182-x;journal-article;Springer Science and Business Media LLC;J. Syst. Sci. Syst. Eng.;28;;;;
31;A methodology for automating the parallelization of manufacturing simulations;1998;"SJ Turner; W Cai; CC Lin; YH Low; WJ Hsu; SY Huang";16;dl.acm.org;https://dl.acm.org/doi/pdf/10.1145/278009.278024;http://dx.doi.org/10.1109/pads.1998.685278;10.1109/pads.1998.685278;proceedings-article;IEEE Comput. Soc;PADS 98: Parallel and Distributed Simulation '98;18;;;;
32;A methodology for the decomposition of discrete event models for parallel simulation;1993;"SJE Taylor; SC Winter; DR Wilson";29;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/336359/?casa_token=RLxOXR8d-jYAAAAA:lOjJRyN_mq11uv0B6rJ8CUBT392lkVH75IlJy1iJvP4sKf6VjAV3ETi0gl7F1lnIZAFGoIfbo3xT;http://dx.doi.org/10.1109/empdp.1993.336359;10.1109/empdp.1993.336359;proceedings-article;IEEE;1993 Euromicro Workshop on Parallel and Distributed Processing;10;;;;
33;A model for estimating the performance of synchronous parallel network simulation;2008;"X Wang; B Fang; H Zhang; W Zhang";0;Francis;https://www.tandfonline.com/doi/abs/10.1080/02286203.2008.11442456;http://dx.doi.org/10.2316/journal.205.2008.1.205-4701;10.2316/journal.205.2008.1.205-4701;journal-article;ACTA Press;;23;;;;
34;A modification of the process interaction world view;1992;"BA Cota; RG Sargent";0;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/137926.137927;http://dx.doi.org/10.1145/137926.137927;10.1145/137926.137927;journal-article;Association for Computing Machinery (ACM);ACM Trans. Model. Comput. Simul.;30;;;;
35;A new adaptive middleware for parallel and distributed simulation of dynamically interacting systems;2004;"L Bononi; M Bracuto; G D'Angelo; L Donatiello";1;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1364594/?casa_token=6lBLWrP1d9kAAAAA:Dt2lIxA9fVEK_mK_Ma3jbsbVopvorgjVU88Phs6IHxF_tN_d2_PaU0p5JzlmakwHIkI3404bottK;http://dx.doi.org/10.1109/ds-rt.2004.3;10.1109/ds-rt.2004.3;proceedings-article;IEEE;Eighth IEEE International Symposium on Distributed Simulation and Real-Time Applications;39;;;;
36;A new algorithm for VHDL parallel simulation;2011;"A Garcia-Dopico; A Pérez; S Rodriguez; MI García";0;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/1970353.1970360;http://dx.doi.org/10.1145/1970353.1970360;10.1145/1970353.1970360;journal-article;Association for Computing Machinery (ACM);ACM Trans. Des. Autom. Electron. Syst.;26;;;;
37;A new deadlock resolution protocol and message matching algorithm for the extreme-scale simulator;2016;"C Engelmann; T Naughton";31;Library;https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.3805?casa_token=MMwHdMj7qSwAAAAA:1K7tYsQ-luqtNRDfattM0oiCZoYGk6nUqiOn_8WF2dbbDr9ghuTPLYSajNOAnlW2au1mVOnqF86JBuvn;http://dx.doi.org/10.1002/cpe.3805;10.1002/cpe.3805;journal-article;Wiley;Concurrency Computat.: Pract. Exper.;33;;;;
38;A nonblocking algorithm for the distributed simulation of FCFS queueing networks with irreducible Markovian routing;1998;"M Gupta; A Kumar";3;dl.acm.org;https://dl.acm.org/doi/pdf/10.1145/278008.278012;http://dx.doi.org/10.1109/pads.1998.685266;10.1109/pads.1998.685266;proceedings-article;IEEE Comput. Soc;PADS 98: Parallel and Distributed Simulation '98;18;;;;
39;A novel approach for distributed simulation of wireless mobile systems;2003;"L Bononi; G D'Angelo";4;Springer;https://link.springer.com/chapter/10.1007/978-3-540-39867-7_76;http://dx.doi.org/10.1007/978-3-540-39867-7_76;10.1007/978-3-540-39867-7_76;book-chapter;Springer Berlin Heidelberg;Personal Wireless Communications;22;;;;
40;A novel hybrid MAC protocol for sustainable delay-tolerant wireless sensor networks;2020;"A Boukerche; X Zhou";9;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8999637/?casa_token=JgcDBdI0Nq0AAAAA:IXSJxPG-4NYjCcLxnQpgV5V2yZyMItjCK6XNE-54wCfRL16lMfErO23uo2JcU0Uz8DWRy6u6bnRM;http://dx.doi.org/10.1109/tsusc.2020.2973701;10.1109/tsusc.2020.2973701;journal-article;Institute of Electrical and Electronics Engineers (IEEE);IEEE Trans. Sustain. Comput.;32;;;;
41;A novel parallelization technique for DEVS simulation of continuous and hybrid systems;2013;"F Bergero; E Kofman; F Cellier";13;journals.sagepub.com;https://journals.sagepub.com/doi/pdf/10.1177/0037549712454931;http://dx.doi.org/10.1177/0037549712454931;10.1177/0037549712454931;journal-article;SAGE Publications;SIMULATION;40;;;;
42;A novel rollback algorithm in parallel and distributed system simulation;2004;"X Wang; L Zhang; K Huang";0;Springer;https://link.springer.com/chapter/10.1007/978-3-540-30501-9_76;http://dx.doi.org/10.1007/978-3-540-30501-9_76;10.1007/978-3-540-30501-9_76;book-chapter;Springer Berlin Heidelberg;Parallel and Distributed Computing: Applications and Technologies;6;;;;
43;A Parallel Algorithm to Accelerate DEVS Simulations in Shared Memory Architectures;2023;"GG Trabes; GA Wainer; V Gil-Costa";0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10068737/?casa_token=kxIwdRzO4yoAAAAA:p8ltOkqBXx53YqDzKjMaoSRuKXCsJIUzSfsZgZxnFlBKknW-SDSleWgipmRnnCfI7DgM7w8OxFt-;http://dx.doi.org/10.1109/tpds.2023.3256083;10.1109/tpds.2023.3256083;journal-article;Institute of Electrical and Electronics Engineers (IEEE);IEEE Trans. Parallel Distrib. Syst.;34;;;;
44;A PARALLEL DEMAND-DRIVEN SIMULATION ALGORITHM FOR SIMD COMPUTERS;1998;"PE Fouliras; KG Margarttis";2;Francis;https://www.tandfonline.com/doi/abs/10.1080/01495739808947360;http://dx.doi.org/10.1080/01495739808947360;10.1080/01495739808947360;journal-article;Informa UK Limited;Parallel Algorithms and Applications;20;;;;
45;A parallel object-oriented manufacturing simulation language;2001;"Y Zhang; W Cai; SJ Turner";27;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/924626/;http://dx.doi.org/10.1109/pads.2001.924626;10.1109/pads.2001.924626;proceedings-article;IEEE Comput. Soc;15th Workshop on Parallel and Distributed Simulation;14;;;;
46;A parallel quantized state system solver for ODEs;2017;"J Fernández; E Kofman; F Bergero";0;Elsevier;https://www.sciencedirect.com/science/article/pii/S0743731517300795?casa_token=2S2iTfzFAP8AAAAA:TPIJ39S1eFdZMi6RMsfnlb19vpbzi8Kdz9T-vJzVxoOTrGr-KNE_Qzfu4R438zk3EAMEbMcRzkvw;http://dx.doi.org/10.1016/j.jpdc.2017.02.011;10.1016/j.jpdc.2017.02.011;journal-article;Elsevier BV;Journal of Parallel and Distributed Computing;47;;;;
47;A parallelism analyzer algorithm for a conservative super-step simulation protocol;1999;"CC Lim; YH Low; W Cai";7;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/773080/;http://dx.doi.org/10.1109/hicss.1999.773080;10.1109/hicss.1999.773080;proceedings-article;IEEE Comput. Soc;HICSS 32 - 32nd Annual Hawaii International Conference on System Sciences;12;;;;
48;A PDEVS simulator supporting multiple synchronization protocols: implementation and performance analysis;2018;"B Cardoen; S Manhaeve; Y Van Tendeloo; J Broeckhove";10;journals.sagepub.com;https://journals.sagepub.com/doi/pdf/10.1177/0037549717690826;http://dx.doi.org/10.1177/0037549717690826;10.1177/0037549717690826;journal-article;SAGE Publications;SIMULATION;43;;;;
49;A performance and scalability analysis framework for parallel discrete event simulators;2001;"V Balakrishnan; R Radhakrishnan; DM Rao; N Abu-Ghazaleh; PA Wilsey";10;Elsevier;https://www.sciencedirect.com/science/article/pii/S0928486901000337?casa_token=TdqtJ3MmlzEAAAAA:LKsmeogqAd6LVNyyabtrM8wFlbgpQmjA1C9HSYSa2rnR-66LbOeJwSZoHXz30vpD9jp0hvjtgyvJ;http://dx.doi.org/10.1016/s0928-4869(01)00033-7;10.1016/s0928-4869(01)00033-7;journal-article;Elsevier BV;Simulation Practice and Theory;43;;;;
50;A performance evaluation methodology for parallel simulation protocols;1996;"V Jha; R Bagrodia";0;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/238788.238842;http://dx.doi.org/10.1109/pads.1996.761576;10.1109/pads.1996.761576;proceedings-article;IEEE;Symposium on Parallel and Distributed Tools;12;;;;
51;A platform for distributed modeling and simulation of productive systems based on Petri nets and object-oriented paradigm;2005;"F Junqueira; E Villani; PE Miyagi";13;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1612621/?casa_token=-QX1McVcR8QAAAAA:acAtKmkVQ345odiLdoJhrM5tQ1KhUUCV7APvXAoPSG06Ot1KBmIYsmcC-TNP6UT03T_geyvmR6wK;http://dx.doi.org/10.1109/etfa.2005.1612621;10.1109/etfa.2005.1612621;proceedings-article;IEEE;2005 IEEE Conference on Emerging Technologies and Factory Automation;16;;;;
52;A portable framework for distributed simulation of colored stochastic petri nets;1998;"MR Gile; F DiCesare";3;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/725384/?casa_token=FzW1g7uQUpUAAAAA:K1FcEzfczTaSFrhvMxJ1U9fi0mEcXqMjS4wcTzldU7EsUqt4IC50Y70rwoW0bpZIu9vlTaTGmDnh;http://dx.doi.org/10.1109/icsmc.1998.725384;10.1109/icsmc.1998.725384;proceedings-article;IEEE;SMC '98 Conference Proceedings. 1998 IEEE International Conference on Systems, Man, and Cybernetics;15;;;;
53;A Portable Testbed for Evaluating Different Approaches to Distributed Logic Simulation;1995;P Luksch;0;Elsevier;https://www.sciencedirect.com/science/article/pii/B978044482106550034X;http://dx.doi.org/10.1016/b978-044482106-5/50034-x;10.1016/b978-044482106-5/50034-x;book-chapter;Elsevier;Algorithms and Parallel VLSI Architectures III;12;;;;
54;A practical approach for constructing a parallel network simulator;2003;"Y Li; D Qian";9;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1236385/?casa_token=iM6VEitm4I4AAAAA:2HEqxuInqHuErMpB34U1DHmy7G4p8ZfvC53H0fv_MELslvkUOO02WFJ5IVcVnzJTgjsp93ll8B-1;http://dx.doi.org/10.1109/pdcat.2003.1236385;10.1109/pdcat.2003.1236385;proceedings-article;IEEE;Fourth International Conference on Parallel and Distributed Computing, Applications and Technologies;13;;;;
55;A probabilistic performance model for conservative simulation protocol;2001;HY Song;11;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/924637/;http://dx.doi.org/10.1109/pads.2001.924637;10.1109/pads.2001.924637;proceedings-article;IEEE Comput. Soc;15th Workshop on Parallel and Distributed Simulation;9;;;;
56;A query-based parallel logic simulation algorithm;1993;"T Kudoh; T Kimura; H Amano; T Terasawa";26;Library;https://onlinelibrary.wiley.com/doi/abs/10.1002/scj.4690240202;http://dx.doi.org/10.1002/scj.4690240202;10.1002/scj.4690240202;journal-article;Wiley;Syst. Comp. Jpn.;9;;;;
57;A reconfigurable MPI broadcast function;2005;"LES Ramos; CAPS Martins";3;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1592318/;http://dx.doi.org/10.1109/hpcasia.2005.9;10.1109/hpcasia.2005.9;proceedings-article;IEEE;Eighth International Conference on High-Performance Computing in Asia-Pacific Region (HPCASIA'05);16;;;;
58;A restriction of the elastic time algorithm;2002;F Quaglia;1;Citeseer;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=77af224936e5b9cf7ba2dd5dd488250ff6ffad7f;http://dx.doi.org/10.1016/s0020-0190(02)00209-0;10.1016/s0020-0190(02)00209-0;journal-article;Elsevier BV;Information Processing Letters;14;;;;
59;A review of literature in distributed supply chain simulation;2014;"N Mustafee; K Katsaliaki; SJE Taylor";14;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7020128/?casa_token=09UFOnqWSZwAAAAA:8p7EKPlpda9K9WutXYUb-j7a0R20-KkQ0DrlImUIY6b9xOr2r_-mSXsV6k5Ivp0RiisYpPKfQMzu;http://dx.doi.org/10.1109/wsc.2014.7020128;10.1109/wsc.2014.7020128;proceedings-article;IEEE;2014 Winter Simulation Conference - (WSC 2014);36;;;;
60;A revised taxonomy for time warp based distributed synchronization protocols;2004;"RS Lobato; RS Ulson; MJ Santana";2;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1364602/?casa_token=2RCBXTYqElUAAAAA:n_Svz3NgbM5Gkibsdg-ylzuXboFH9efvNEbeyrBssXuKOBWDrb2GlSFXXGCDpSuPl2U82xOV8KDq;http://dx.doi.org/10.1109/ds-rt.2004.4;10.1109/ds-rt.2004.4;proceedings-article;IEEE;Eighth IEEE International Symposium on Distributed Simulation and Real-Time Applications;16;;;;
61;A Scalable and Efficient Storage Allocator on Shared-Memory Multiprocessors;1999;"VY Vee; WJ Hsu";0;Citeseer;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1f9e650340c3cd04df862642f8b5652ccbbda716;http://dx.doi.org/10.1109/ispan.1999.778944;10.1109/ispan.1999.778944;proceedings-article;IEEE Comput. Soc;1999 International Symposium on Parallel Architecture, Algorithms and Networks;9;;;;
62;A scaled version of the elastic time algorithm;2001;F Quaglia;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/924632/;http://dx.doi.org/10.1109/pads.2001.924632;10.1109/pads.2001.924632;proceedings-article;IEEE Comput. Soc;15th Workshop on Parallel and Distributed Simulation;21;;;;
63;A software tool for federated simulation of wireless sensor networks and mobile ad hoc networks;2010;"E Niewiadomska-Szynkiewicz; A Sikora";15;Springer;https://link.springer.com/chapter/10.1007/978-3-642-28151-8_30;http://dx.doi.org/10.1007/978-3-642-28151-8_30;10.1007/978-3-642-28151-8_30;book-chapter;Springer Berlin Heidelberg;Applied Parallel and Scientific Computing;18;;;;
64;A spectrum of options for parallel simulation;1988;PF Reynolds Jr;193;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/318123.318209;http://dx.doi.org/10.1109/wsc.1988.716181;10.1109/wsc.1988.716181;proceedings-article;IEEE;1988 Winter Simulation;0;;;;
65;A state-based scheduling algorithm for Time Warp synchronization;2000;F Quaglia;10;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/844896/?casa_token=WABgSA27Hp4AAAAA:SvC9CPCYTT_9T6NSgj-sXBZmxu6_ioUpQIoZfgMOQkIhndqyC4HkAUTdtlSF3jZkdhS3lbwzJaXK;http://dx.doi.org/10.1109/simsym.2000.844896;10.1109/simsym.2000.844896;proceedings-article;IEEE Comput. Soc;33rd Annual Simulation Symposium;25;;;;
66;A study of time warp rollback mechanisms;1991;"YB Lin; ED Lazowska";89;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/102810.102813;http://dx.doi.org/10.1145/102810.102813;10.1145/102810.102813;journal-article;Association for Computing Machinery (ACM);ACM Trans. Model. Comput. Simul.;29;;;;
67;A SystemC modeling and simulation methodology for fast and accurate parallel MPSoC simulation;2013;"C Roth; H Bucher; S Reder; F Buciuman; O Sander; J Becker";0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6644853/;http://dx.doi.org/10.1109/sbcci.2013.6644853;10.1109/sbcci.2013.6644853;proceedings-article;IEEE;2013 26th Symposium on Integrated Circuits and Systems Design (SBCCI);14;;;;
